STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,
,(,),++,",",--,;,=,an,boolean,car,cela,entulesse,hyaline,id,ista,liltengwa,note,number,opa,opl,opr,oprel,qui,sarme,yulmavene,{,},$,Stmts,Stmt,If,Else,Expr,Arit,Factor,Rel,Log,For,Forexpr,Postfix,Read,Write,Type,Declaration,Function,Params
89,,,,,,,,r( Function -> hyaline id ( ) { Stmt } ),,,,,r( Function -> hyaline id ( ) { Stmt } ),,r( Function -> hyaline id ( ) { Stmt } ),r( Function -> hyaline id ( ) { Stmt } ),r( Function -> hyaline id ( ) { Stmt } ),,,,,,r( Function -> hyaline id ( ) { Stmt } ),r( Function -> hyaline id ( ) { Stmt } ),r( Function -> hyaline id ( ) { Stmt } ),,,r( Function -> hyaline id ( ) { Stmt } ),,,,,,,,,,,,,,,,,,
90,,"r( Params -> Type id , Params )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,s11,,,,,,,s12,s16,s15,,,,,,s10,s13,s17,,,,,95,4,,,,,,,5,,,6,7,14,8,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,s96,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,s97,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,r( Function -> hyaline id ( Params ) { Stmt } ),,,,,r( Function -> hyaline id ( Params ) { Stmt } ),,r( Function -> hyaline id ( Params ) { Stmt } ),r( Function -> hyaline id ( Params ) { Stmt } ),r( Function -> hyaline id ( Params ) { Stmt } ),,,,,,r( Function -> hyaline id ( Params ) { Stmt } ),r( Function -> hyaline id ( Params ) { Stmt } ),r( Function -> hyaline id ( Params ) { Stmt } ),,,r( Function -> hyaline id ( Params ) { Stmt } ),,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,
96,,,,,,,,r( For -> an ( Forexpr ) car { Stmt } ),,,r( For -> an ( Forexpr ) car { Stmt } ),,r( For -> an ( Forexpr ) car { Stmt } ),,r( For -> an ( Forexpr ) car { Stmt } ),r( For -> an ( Forexpr ) car { Stmt } ),r( For -> an ( Forexpr ) car { Stmt } ),,,,,,r( For -> an ( Forexpr ) car { Stmt } ),r( For -> an ( Forexpr ) car { Stmt } ),r( For -> an ( Forexpr ) car { Stmt } ),,r( For -> an ( Forexpr ) car { Stmt } ),r( For -> an ( Forexpr ) car { Stmt } ),,,,,,,,,,,,,,,,,,
97,s32,,,,,,,,,,,,,s30,,,,s31,,,,,,,,,,,,,,,,,99,,,,,,,,,,,
98,,,,,,,,r( For -> an ( note Forexpr ) car { Stmt } ),,,r( For -> an ( note Forexpr ) car { Stmt } ),,r( For -> an ( note Forexpr ) car { Stmt } ),,r( For -> an ( note Forexpr ) car { Stmt } ),r( For -> an ( note Forexpr ) car { Stmt } ),r( For -> an ( note Forexpr ) car { Stmt } ),,,,,,r( For -> an ( note Forexpr ) car { Stmt } ),r( For -> an ( note Forexpr ) car { Stmt } ),r( For -> an ( note Forexpr ) car { Stmt } ),,r( For -> an ( note Forexpr ) car { Stmt } ),r( For -> an ( note Forexpr ) car { Stmt } ),,,,,,,,,,,,,,,,,,
99,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,s103,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,
102,,"r( Forexpr -> id = Factor , id oprel Factor , id Postfix )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,r( Postfix -> ++ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r( Postfix -> -- ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
